Athlete Name,Nouns,Values,Adjectives,Sponsor,IG Followers,Practiced Sport,Nationality,Core Audience,Net Worth (Estimated),Age,Agent,Sports Sponsors
Ronnie Stanley,"NFL, Offensive Tackle, American","Strength, Technique, Versatility","Reliable, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),30.0,Kim Miale,Nike
Rory McIlroy,"Golf, Golfer, Northern Irish","Skill, Consistency, Charisma","Dominant, Iconic, Inspirational","Nike, Omega, Optum, TaylorMade, Workday",10.6M,Golf,Northern Irish,"Golf fans, sports enthusiasts",$200 million (approx.),35.0,Unknown,"Nike, TaylorMade"
Roy Halladay,"MLB, Pitcher, American","Stuff, Movement, Consistency","Dominant, Iconic, Respected",Nike,1.4M,Baseball,American,"Baseball fans, sports enthusiasts",$200 million (approx.),47.0,Unknown,Nike
Rudy Gay,"NBA, Small Forward, American","Athleticism, Scoring, Versatility","Exciting, Productive, Popular",Nike,4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),38.0,"Jeff Austin, Alex Saratsis",Nike
Russell Okung,"NFL, Offensive Tackle, American","Strength, Technique, Versatility","Reliable, Respected, Productive","Nike, Panini, Upper Deck, Verizon Wireless",1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),37.0,Peter Schaffer,Nike
Russell Westbrook,"NBA, Point Guard, American","Athleticism, Scoring, Leadership","Dominant, Iconic, Inspirational","Hennessy, Nike",12.9M,Basketball,American,"NBA fans, sports enthusiasts",$200 million (approx.),35.0,Jeff Schwartz,Nike
Russell Wilson,"NFL, Quarterback, American","Arm Strength, Accuracy, Mobility","Talented, Exciting, Inspirational","Amazon, Bose, Fanatics, General Dynamics, Mercedes-Benz, Nike, Panini, Spin Master Corporation, Wilson Sporting Goods",10.6M,American Football,American,"NFL fans, sports enthusiasts",$200 million (approx.),35.0,Mark Rodgers,"Nike, Fanatics, Wilson Sporting Goods, Mercedes-Benz"
Ryan Howard,"MLB, First Baseman, American","Power, Hitting, Versatility","Consistent, Reliable, Respected",Nike,1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),44.0,Unknown,Nike
Ryan Kalil,"NFL, Center, American","Strength, Technique, Leadership","Reliable, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),39.0,"Tom Condon, Ben Dogra",Nike
Ryan Tannehill,"NFL, Quarterback, American","Arm Strength, Accuracy, Mobility","Talented, Exciting, Productive","Adidas, Panini, Regenexx",5.3M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),36.0,"Brian Ayrault, Todd France, Jordan Bazant",Adidas
Sachin Tendulkar,"Cricket, Batsman, Indian","Skill, Consistency, Leadership","Legendary, Iconic, Inspirational","Adidas, Coca-Cola, Toshiba",48.7M,Cricket,Indian,"Cricket fans, sports enthusiasts",$200 million (approx.),51.0,Vinod Naidu,Adidas
Sam Bradford,"NFL, Quarterback, American","Arm Strength, Accuracy, Mobility","Talented, Exciting, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),36.0,Unknown,Nike
Samuel Etoo,"Soccer, Forward, Cameroonian","Finishing, Athleticism, Versatility","Dominant, Iconic, Inspirational","Puma, Ford Motor",7.6M,Soccer,Cameroonian,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),43.0,Claudio Vigorelli,Puma
Saquon Barkley,"NFL, Running Back, American","Speed, Power, Elusive","Dominant, Exciting, Popular","Bose, Dunkin Donuts, Nike, Pepsi, Toyota Motor, Visa",10.6M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),27.0,Kim Miale,Nike
Sebastian Vettel,"Formula 1, Driver, German","Speed, Skill, Strategy","Dominant, Iconic, Charismatic",Aston Martin,12.9M,Formula 1,German,"Formula 1 fans, racing enthusiasts",$200 million (approx.),37.0,Unknown,-1
Serena Williams,"Tennis, Player, American","Power, Athleticism, Mental Toughness","Dominant, Iconic, Inspirational","AbbVie, Anheuser-Busch InBev, Audemars Piguet, Block Inc, DoorDash, Ford Motor, Gatorade, Gucci, Nike, Remy Cointreau S.A., Tonal, The Walt Disney Company, Wilson Sporting Goods",15.4M,Tennis,American,"Tennis fans, sports enthusiasts",$200 million (approx.),43.0,Jill Smoller,"Nike, Wilson Sporting Goods"
Sergio Aguero,"Soccer, Forward, Argentine","Finishing, Athleticism, Versatility","Exciting, Productive, Popular","PepsiCo, Puma",24.1M,Soccer,Argentine,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),36.0,Ruben Dominguez,Puma
Sergio Ramos,"Soccer, Defender, Spanish","Leadership, Defensive Skills, Consistency","Dominant, Iconic, Respected","Anheuser Busch InBev, Nike",57.9M,Soccer,Spanish,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),38.0,René Ramos,Nike
Shaq Thompson,"NFL, Linebacker, American","Speed, Athleticism, Versatility","Dominant, Reliable, Respected","New Era, Nike, Sprint Nextel",1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),30.0,Doug Hendrickson,"Nike, New Era"
Shaquil Barrett,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Reliable, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),31.0,Unknown,Nike
Shaquille ONeal,"NBA, Center, American","Size, Strength, Physicality","Dominant, Iconic, Controversial",Nike,13.9M,Basketball,American,"Basketball fans, sports enthusiasts",$400 million (approx.),52.0,Unknown,Nike
Stephen Curry,"NBA, Point Guard, American","Shooting, Leadership, Versatility","Dominant, Iconic, Inspirational","2K Sports, Callaway Golf, JPMorgan Chase, Panini, Rakuten, Subway, Under Armour",50.7M,Basketball,American,"Basketball fans, sports enthusiasts",$1 billion (approx.),36.0,Jeff Austin,"Under Armour, Callaway Golf"
Stephon Gilmore,"NFL, Cornerback, American","Speed, Athleticism, Coverage","Dominant, Reliable, Respected",Nike,4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),34.0,Jason Chayut,Nike
Stephon Tuitt,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Reliable, Respected",Under Armour,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),31.0,"Tom Condon, Jimmy Sexton",Under Armour
Steven Adams,"NBA, Center, New Zealand","Strength, Physicality, Rebounding","Dominant, Reliable, Respected","Adidas, Anheuser-Busch InBev, Powerade",4.1M,Basketball,New Zealand,"NBA fans, sports enthusiasts",$100 million (approx.),31.0,Darren Matsubara,Adidas
Steven Gerrard,"Soccer, Midfielder, English","Skill, Leadership, Versatility","Dominant, Iconic, Inspirational","Adidas, Mars",10.6M,Soccer,English,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),44.0,Struan Marshall,Adidas
Terrell Suggs,"NFL, Linebacker, American","Speed, Power, Versatility","Dominant, Inspirational, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),42.0,Joel Segal,Nike
Thierry Henry,"Soccer, Forward, French","Speed, Dribbling, Finishing","Dominant, Iconic, Inspirational",Nike,24.1M,Soccer,French,"Soccer fans, sports enthusiasts, casual followers",$200 million (approx.),47.0,Unknown,Nike
Tiger Woods,"Golf, Golfer, American","Skill, Consistency, Power","Legendary, Iconic, Inspirational","2K Sports, Autograph, Bridgestone, Full Swing, Kowa Company Ltd., Monster Energy, Rolex, TaylorMade, Upper Deck",10.6M,Golf,American,"Golf fans, sports enthusiasts",$1 billion (approx.),48.0,Mark Steinberg,"TaylorMade, Monster Energy"
Tim Duncan,"NBA, Power Forward/Center, American","Versatility, Leadership, Defense","Dominant, Iconic, Inspirational","Adidas, AT&T, Bridgestone",6.6M,Basketball,American,"NBA fans, sports enthusiasts",$200 million (approx.),48.0,Unknown,Adidas
Tim Lincecum,"MLB, Pitcher, American","Stuff, Movement, Quirky","Exciting, Unpredictable, Popular","Rawlings, Nike",1.4M,Baseball,American,"Baseball fans, sports enthusiasts",$50 million (approx.),40.0,Unknown,Nike
Tobias Harris,"NBA, Forward, American","Scoring, Athleticism, Versatility","Exciting, Productive, Popular","Mercedes-Benz, Nike",4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),32.0,Torrel Harris,"Nike, Mercedes-Benz"
Todd Helton,"MLB, First Baseman, American","Hitting, Power, Versatility","Consistent, Reliable, Respected",Nike,1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),51.0,Unknown,Nike
Tom Brady,"NFL, Quarterback, American","Arm Strength, Accuracy, Leadership","Legendary, Iconic, Inspirational","Christopher Cloos, Fanatics, Hertz Global Holdings, IWC Schaffhausen, Under Armour, Wheels Up",12.9M,American Football,American,"NFL fans, sports enthusiasts",$1 billion (approx.),47.0,"Don Yee, Jason Hodes","Fanatics, Under Armour"
Tony Romo,"NFL, Quarterback, American","Arm Strength, Accuracy, Leadership","Experienced, Clutch, Popular","Topps, Panini, Pizza Hut, Directv, Under Armour",5.3M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),44.0,"Jimmy Sexton, R.J. Gonser",Under Armour
Tony Stewart,"NASCAR, Driver, American","Skill, Consistency, Charisma","Legendary, Successful, Popular","Coca-Cola, Kraft Foods, Oakley",2.1M,NASCAR,American,"NASCAR fans, racing enthusiasts",$200 million (approx.),53.0,Unknown,-1
Torii Hunter,"MLB, Outfielder, American","Power, Athleticism, Versatility","Exciting, Productive, Popular",Nike,1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),49.0,"Patrick Murphy, Larry Reynolds",Nike
Tracy McGrady,"NBA, Shooting Guard/Small Forward, American","Scoring, Athleticism, Versatility","Dominant, Iconic, Inspirational",Nike,4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),45.0,Unknown,Nike
Trae Waynes,"NFL, Cornerback, American","Speed, Athleticism, Versatility","Reliable, Respected, Productive",Adidas,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),32.0,Joe Panos,Adidas
Trent Williams,"NFL, Offensive Tackle, American","Strength, Technique, Versatility","Reliable, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),36.0,Vincent Taylor,Nike
Trey Flowers,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Reliable, Respected","Nike, Panini",2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),31.0,Neil Cornrich,Nike
Troy Tulowitzki,"MLB, Shortstop, American","Power, Hitting, Versatility","Consistent, Reliable, Respected","Rawlings, Nike",1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),40.0,Paul Cohen,Nike
Trumaine Johnson,"NFL, Cornerback, American","Speed, Athleticism, Versatility","Dominant, Reliable, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),34.0,Joel Segal,Nike
Tyron Smith,"NFL, Offensive Tackle, American","Strength, Technique, Versatility","Reliable, Respected, Productive",Hublot,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),33.0,Joe Panos,-1
Tyson Fury,"Boxing, Boxer, British","Power, Skill, Technique","Dominant, Controversial, Inspirational",Nike,10.6M,Boxing,British,"Boxing fans, sports enthusiasts",$100 million (approx.),36.0,Unknown,Nike
Usain Bolt,"Track and Field, Sprinter, Jamaican","Speed, Power, Explosiveness","Legendary, Iconic, Inspirational","Gatorade, Hublot, Puma",23.7M,Track and Field,Jamaican,"Track and Field fans, sports enthusiasts",$200 million (approx.),38.0,"Gina Ford, Ricky Simms",Puma
Valentino Rossi,"MotoGP, Rider, Italian","Skill, Consistency, Charisma","Dominant, Iconic, Inspirational","Bridgestone, Monster Energy, Oakley, Yamaha",12.9M,MotoGP,Italian,"MotoGP fans, racing enthusiasts",$200 million (approx.),45.0,Unknown,Monster Energy
Vernon Wells,"MLB, Outfielder, American","Power, Athleticism, Versatility","Exciting, Productive, Popular",Nike,1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),45.0,Brian Peters,Nike
Vince Carter,"NBA, Small Forward/Shooting Guard, American","Athleticism, Dunking, Versatility","Dominant, Iconic, Inspirational",Nike,4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),47.0,Unknown,Nike
Vincent Jackson,"NFL, Wide Receiver, American","Speed, Strength, Catching","Dominant, Reliable, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),41.0,Jon Feinsod,Nike
Virat Kohli,"Cricket, Batsman, Indian","Skill, Consistency, Leadership","Dominant, Iconic, Inspirational","Audi, Colgate-Palmolive, Flipkart, Google, Hero Motocorp, Puma, Uber, Valvoline",20.8M,Cricket,Indian,"Cricket fans, sports enthusiasts",$200 million (approx.),35.0,Bunty Sajdeh,"Puma, Audi"
Von Miller,"NFL, Linebacker, American","Speed, Power, Versatility","Dominant, Reliable, Respected","Adidas, Best Buy",4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),35.0,Joby Branion,Adidas
Wayne Rooney,"Soccer, Forward, English","Skill, Leadership, Versatility","Dominant, Iconic, Inspirational",Nike,10.6M,Soccer,English,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),38.0,Paul Stretford,Nike
Wladimir Klitschko,"Boxing, Boxer, Ukrainian","Power, Size, Technique","Dominant, Iconic, Respected","Deutsche Telekom, Porsche Automobil Holding, SAP",10.6M,Boxing,Ukrainian,"Boxing fans, sports enthusiasts",$100 million (approx.),48.0,Unknown,Porsche Automobil Holding
Yao Ming,"NBA, Center, Chinese","Size, Skill, Leadership","Dominant, Iconic, Respected",Nike,12.7M,Basketball,Chinese,"NBA fans, sports enthusiasts",$200 million (approx.),44.0,Unknown,Nike
Yaya Toure,"Soccer, Midfielder, Ivorian","Strength, Technique, Leadership","Dominant, Inspirational, Respected","Nissan Motor, Puma",7.6M,Soccer,Ivorian,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),41.0,Dimitri Seluk,"Puma, Nissan Motor"
Yoenis Cespedes,"MLB, Outfielder, Cuban","Power, Athleticism, Versatility","Exciting, Productive, Popular","Franklin Sports, New Balance , Panini, Wilson Sporting Goods",1.3M,Baseball,Cuban,"Baseball fans, sports enthusiasts",$100 million (approx.),39.0,"Nez Balelo, Kyle Thousand","New Balance, Wilson Sporting Goods, Franklin Sports"
Zach Randolph,"NBA, Power Forward, American","Strength, Physicality, Scoring","Dominant, Reliable, Respected","Panini, Nike",1.3M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),43.0,Raymond Brothers,Nike
Zack Greinke,"MLB, Pitcher, American","Stuff, Movement, Consistency","Dominant, Reliable, Respected",Nike,1.4M,Baseball,American,"Baseball fans, sports enthusiasts",$200 million (approx.),41.0,Casey Close,Nike
Zion Williamson,"NBA, Forward, American","Athleticism, Power, Versatility","Dominant, Exciting, Popular","Gatorade, Mountain Dew, Nike, PepsiCo",12.9M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),24.0,Austin Brown,Nike
Zlatan Ibrahimovic,"Soccer, Forward, Swedish","Skill, Technique, Confidence","Dominant, Iconic, Controversial",Volvo,24.1M,Soccer,Swedish,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),43.0,Mino Raiola,-1
